part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1131,20,-213,18,22,23,-0.8525,-0.8191,0.1391,1.4268,0.4253,0.034,-0.2293,0.3883,55,0,43
1132,21,321,18,44,46,0.4514,-0.5198,0.5245,0.9964,0.4253,0.034,-0.2293,0.3883,55,0,43
1133,22,-211,20,47,48,-0.9605,-0.6198,0.1576,1.1623,0.4253,0.034,-0.2293,0.3883,55,0,43
1134,23,111,20,24,25,0.1079,-0.1993,-0.0185,0.2645,0.4253,0.034,-0.2293,0.3883,55,0,43
1135,24,22,23,-1,-1,0.118,-0.1419,-0.0586,0.1937,0.4253,0.034,-0.2293,0.3883,55,0,43
1136,25,22,23,-1,-1,-0.0101,-0.0574,0.0402,0.0708,0.4253,0.034,-0.2293,0.3883,55,0,43
1137,26,130,11,49,51,0.1302,0.4166,0.5774,0.8784,0.4302,0.0504,-0.2374,0.3586,55,0,43
1138,0,300553,-1,1,2,0.1759,0,4.4963,11.4975,0.5058,0.0671,4.3536,0.7346,55,0,44
1139,1,521,0,3,4,-0.0626,0.3046,2.2916,5.7634,0.5058,0.0671,4.3536,0.7346,55,0,44
1140,2,-521,0,9,10,0.2385,-0.3046,2.2046,5.734,0.5058,0.0671,4.3536,0.7346,55,0,44
1141,3,333,1,5,6,-0.2197,0.7686,3.5636,3.7924,0.5053,0.0695,4.3713,0.7793,55,0,44
1142,4,10321,1,7,8,0.1571,-0.464,-1.2719,1.971,0.5053,0.0695,4.3713,0.7793,55,0,44
1143,5,321,3,30,34,-0.1652,0.2722,1.4198,1.5366,0.5053,0.0695,4.3713,0.7793,55,0,44
1144,6,-321,3,35,40,-0.0545,0.4964,2.1437,2.2558,0.5053,0.0695,4.3713,0.7793,55,0,44
1145,7,310,4,41,42,0.3327,-0.3134,-1.482,1.6288,0.5053,0.0695,4.3713,0.7793,55,0,44
1146,8,211,4,43,43,-0.1756,-0.1506,0.2101,0.3423,0.5053,0.0695,4.3713,0.7793,55,0,44
1147,9,-323,2,11,12,-0.1067,1.0961,1.3254,1.9333,0.5145,0.056,4.4344,0.9449,55,0,44
1148,10,10441,2,14,17,0.3452,-1.4007,0.8792,3.8007,0.5145,0.056,4.4344,0.9449,55,0,44
1149,11,-311,9,13,13,-0.0901,0.2926,0.653,0.8763,0.5145,0.056,4.4344,0.9449,55,0,44
1150,12,-211,9,44,45,-0.0166,0.8034,0.6724,1.0571,0.5145,0.056,4.4344,0.9449,55,0,44
1151,13,130,11,46,47,-0.0901,0.2926,0.653,0.8763,0.5145,0.056,4.4344,0.9449,55,0,44
1152,14,331,10,18,20,0.1351,-0.0627,0.2879,1.011,0.5145,0.056,4.4344,0.9449,55,0,44
1153,15,2112,10,-1,-1,0.0161,-0.4315,0.0772,1.0369,0.5145,0.056,4.4344,0.9449,55,0,44
1154,16,-2212,10,48,51,-0.0068,-0.4241,0.0349,1.0303,0.5145,0.056,4.4344,0.9449,55,0,44
1155,17,211,10,52,52,0.2007,-0.4823,0.4791,0.7225,0.5145,0.056,4.4344,0.9449,55,0,44
1156,18,111,14,21,22,0.074,0.0128,0.0115,0.1549,0.5145,0.056,4.4344,0.9449,55,0,44
1157,19,111,14,23,24,0.1044,0.0755,-0.0583,0.1954,0.5145,0.056,4.4344,0.9449,55,0,44
1158,20,221,14,25,27,-0.0432,-0.151,0.3347,0.6607,0.5145,0.056,4.4344,0.9449,55,0,44
1159,21,22,18,-1,-1,0.1085,-0.0092,-0.0087,0.1092,0.5145,0.056,4.4344,0.9449,55,0,44
1160,22,22,18,-1,-1,-0.0345,0.022,0.0201,0.0456,0.5145,0.056,4.4344,0.9449,55,0,44
1161,23,22,19,-1,-1,0.1086,0.0558,-0.0942,0.1543,0.5145,0.056,4.4344,0.9449,55,0,44
1162,24,22,19,-1,-1,-0.0043,0.0196,0.036,0.0412,0.5145,0.056,4.4344,0.9449,55,0,44
1163,25,-211,20,-1,-1,-0.0664,-0.0983,0.0887,0.2035,0.5145,0.056,4.4344,0.9449,55,0,44
1164,26,211,20,53,53,0.0694,0.0482,0.0099,0.1634,0.5145,0.056,4.4344,0.9449,55,0,44
1165,27,111,20,28,29,-0.0462,-0.1009,0.2361,0.2937,0.5145,0.056,4.4344,0.9449,55,0,44
1166,28,22,27,54,55,0.007,-0.0028,0.1564,0.1566,0.5145,0.056,4.4344,0.9449,55,0,44
1167,29,22,27,-1,-1,-0.0532,-0.0981,0.0797,0.1371,0.5145,0.056,4.4344,0.9449,55,0,44
1168,0,300553,-1,1,2,0.1761,0,4.5092,11.5031,0.4068,0.0686,-0.067,-0.0028,55,0,45
1169,1,521,0,3,4,0.3718,0.1406,2.4118,5.8175,0.4068,0.0686,-0.067,-0.0028,55,0,45
1170,2,-521,0,9,13,-0.1957,-0.1406,2.0974,5.6856,0.4068,0.0686,-0.067,-0.0028,55,0,45
1171,3,333,1,5,6,-1.1215,-1.1045,-0.6618,1.989,0.4382,0.0804,0.1366,0.4884,55,0,45
1172,4,10321,1,7,8,1.4933,1.2452,3.0736,3.8285,0.4382,0.0804,0.1366,0.4884,55,0,45
1173,5,321,3,29,29,-0.7241,-0.7151,-0.3719,1.1906,0.4382,0.0804,0.1366,0.4884,55,0,45
1174,6,-321,3,30,31,-0.3974,-0.3895,-0.29,0.7984,0.4382,0.0804,0.1366,0.4884,55,0,45
1175,7,310,4,32,33,0.9297,1.0288,2.7724,3.1395,0.4382,0.0804,0.1366,0.4884,55,0,45
1176,8,211,4,34,36,0.5636,0.2163,0.3012,0.689,0.4382,0.0804,0.1366,0.4884,55,0,45
1177,9,423,2,14,15,0.0484,0.3068,0.375,2.0652,0.4042,0.0667,-0.039,0.0731,55,0,45
1178,10,211,2,37,37,0.112,-0.1581,0.1133,0.2643,0.4042,0.0667,-0.039,0.0731,55,0,45
1179,11,-211,2,38,39,0.4479,0.0153,1.0503,1.1504,0.4042,0.0667,-0.039,0.0731,55,0,45
1180,12,-211,2,40,41,0.3561,-0.6123,0.6802,0.9919,0.4042,0.0667,-0.039,0.0731,55,0,45
1181,13,111,2,27,28,-1.16,0.3077,-0.1213,1.2138,0.4042,0.0667,-0.039,0.0731,55,0,45
1182,14,421,9,16,17,0.0216,0.3028,0.317,1.9158,0.4042,0.0667,-0.039,0.0731,55,0,45
1183,15,111,9,25,26,0.0268,0.004,0.0579,0.1494,0.4042,0.0667,-0.039,0.0731,55,0,45
1184,16,-323,14,18,19,0.2679,0.2751,-0.254,1.0136,0.4046,0.072,-0.0335,0.1066,55,0,45
1185,17,213,14,21,22,-0.2463,0.0277,0.5711,0.9023,0.4046,0.072,-0.0335,0.1066,55,0,45
1186,18,-311,16,20,20,-0.1349,0.1517,-0.138,0.5549,0.4046,0.072,-0.0335,0.1066,55,0,45
1187,19,-211,16,-1,-1,0.4027,0.1234,-0.116,0.4587,0.4046,0.072,-0.0335,0.1066,55,0,45
1188,20,310,18,42,43,-0.1349,0.1517,-0.138,0.5549,0.4046,0.072,-0.0335,0.1066,55,0,45
1189,21,211,17,44,44,-0.2214,0.1446,-0.0046,0.299,0.4046,0.072,-0.0335,0.1066,55,0,45
1190,22,111,17,23,24,-0.0249,-0.1169,0.5757,0.6033,0.4046,0.072,-0.0335,0.1066,55,0,45
1191,23,22,22,-1,-1,0.0462,-0.0581,0.1459,0.1637,0.4046,0.072,-0.0335,0.1066,55,0,45
1192,24,22,22,45,46,-0.0711,-0.0588,0.4298,0.4396,0.4046,0.072,-0.0335,0.1066,55,0,45
1193,25,22,15,-1,-1,0.0543,-0.0022,-0.0264,0.0604,0.4042,0.0667,-0.039,0.0731,55,0,45
1194,26,22,15,-1,-1,-0.0276,0.0062,0.0843,0.0889,0.4042,0.0667,-0.039,0.0731,55,0,45
1195,27,22,13,-1,-1,-1.0956,0.3211,-0.1093,1.1469,0.4042,0.0667,-0.039,0.0731,55,0,45
1196,28,22,13,-1,-1,-0.0644,-0.0134,-0.012,0.0669,0.4042,0.0667,-0.039,0.0731,55,0,45
1197,0,300553,-1,1,2,0.1758,0,4.4887,11.4922,0.5223,0.0695,-1.5447,-0.249,55,0,46
1198,1,521,0,3,4,0.2756,-0.2384,2.1271,5.7032,0.5223,0.0695,-1.5447,-0.249,55,0,46
